episode,reward,length,moving_avg_100,mean_squared_td_error
1,0.000000,4,0.000000,0.00000000
2,0.000000,17,0.000000,0.00000000
3,0.000000,6,0.000000,0.00000000
4,0.000000,3,0.000000,0.00000000
5,0.000000,4,0.000000,0.00000000
6,0.000000,6,0.000000,0.00000000
7,0.000000,4,0.000000,0.00000000
8,0.000000,11,0.000000,0.00000000
9,0.000000,8,0.000000,0.00000000
10,0.000000,7,0.000000,0.00000000
11,0.000000,5,0.000000,0.00000000
12,0.000000,9,0.000000,0.00000000
13,0.000000,4,0.000000,0.00000000
14,0.000000,10,0.000000,0.00000000
15,0.000000,13,0.000000,0.00000000
16,0.000000,2,0.000000,0.00000000
17,0.000000,3,0.000000,0.00000000
18,0.000000,8,0.000000,0.00000000
19,0.000000,2,0.000000,0.00000000
20,0.000000,15,0.000000,0.00000000
21,0.000000,8,0.000000,0.00000000
22,0.000000,20,0.000000,0.00000000
23,0.000000,8,0.000000,0.00000000
24,0.000000,11,0.000000,0.00000000
25,0.000000,8,0.000000,0.00000000
26,0.000000,4,0.000000,0.00000000
27,0.000000,4,0.000000,0.00000000
28,0.000000,6,0.000000,0.00000000
29,0.000000,7,0.000000,0.00000000
30,0.000000,11,0.000000,0.00000000
31,0.000000,3,0.000000,0.00000000
32,1.000000,29,0.031250,0.03448276
33,0.000000,23,0.030303,0.00000000
34,0.000000,6,0.029412,0.00000000
35,0.000000,2,0.028571,0.00000000
36,0.000000,12,0.027778,0.00000000
37,1.000000,17,0.054054,0.04869623
38,0.000000,4,0.052632,0.00000000
39,0.000000,4,0.051282,0.00000000
40,0.000000,11,0.050000,0.00000000
41,0.000000,5,0.048780,0.00000000
42,0.000000,6,0.047619,0.00000000
43,0.000000,6,0.046512,0.00000000
44,0.000000,20,0.045455,0.00157493
45,0.000000,3,0.044444,0.00000000
46,0.000000,5,0.043478,0.00000000
47,0.000000,48,0.042553,0.00000000
48,0.000000,18,0.041667,0.00000000
49,0.000000,15,0.040816,0.00000000
50,0.000000,11,0.040000,0.00000000
51,0.000000,4,0.039216,0.00000000
52,0.000000,6,0.038462,0.00000738
53,0.000000,12,0.037736,0.00000000
54,0.000000,17,0.037037,0.00364515
55,0.000000,8,0.036364,0.00000000
56,0.000000,12,0.035714,0.00000000
57,0.000000,13,0.035088,0.00000000
58,0.000000,3,0.034483,0.00000000
59,0.000000,18,0.033898,0.00012512
60,0.000000,13,0.033333,0.00000002
